"","Name","Ticker","Sector","name_tick"
"1","ALK-Abelló B","ALK-B.CO","Health Care","ALK-Abelló B (ALK-B.CO)"
"2","Alm. Brand","ALMB.CO","Financials","Alm. Brand (ALMB.CO)"
"3","Ambu","AMBU-B.CO","Health Care","Ambu (AMBU-B.CO)"
"4","Carlsberg A","CARL-A.CO","Consumer Goods","Carlsberg A (CARL-A.CO)"
"5","Carlsberg B","CARL-B.CO","Consumer Goods","Carlsberg B (CARL-B.CO)"
"6","Chr. Hansen Holding","CHR.CO","Health Care","Chr. Hansen Holding (CHR.CO)"
"7","Coloplast B","COLO-B.CO","Health Care","Coloplast B (COLO-B.CO)"
"8","Danske Bank","DANSKE.CO","Financials","Danske Bank (DANSKE.CO)"
"9","Demant","DEMANT.CO","Health Care","Demant (DEMANT.CO)"
"10","DFDS","DFDS.CO","Industrials","DFDS (DFDS.CO)"
"11","Drilling Company of 1972","DRLCO.CO","Oil & Gas","Drilling Company of 1972 (DRLCO.CO)"
"12","DSV Panalpina","DSV.CO","Industrials","DSV Panalpina (DSV.CO)"
"13","FLSmidth & Co.","FLS.CO","Industrials","FLSmidth & Co. (FLS.CO)"
"14","G4S plc","G4S.CO","Industrials","G4S plc (G4S.CO)"
"15","Genmab","GMAB.CO","Health Care","Genmab (GMAB.CO)"
"16","GN Store Nord","GN.CO","Health Care","GN Store Nord (GN.CO)"
"17","ISS","ISS.CO","Industrials","ISS (ISS.CO)"
"18","Jeudan","JDAN.CO","Financials","Jeudan (JDAN.CO)"
"19","Jyske Bank","JYSK.CO","Financials","Jyske Bank (JYSK.CO)"
"20","Københavns Lufthavne","KBHL.CO","Industrials","Københavns Lufthavne (KBHL.CO)"
"21","Lundbeck","LUN.CO","Health Care","Lundbeck (LUN.CO)"
"22","A.P. Møller - Mærsk A","MAERSK-A.CO","Industrials","A.P. Møller - Mærsk A (MAERSK-A.CO)"
"23","A.P. Møller - Mærsk B","MAERSK-B.CO","Industrials","A.P. Møller - Mærsk B (MAERSK-B.CO)"
"24","Nordea Bank Abp","NDA-DK.CO","Financials","Nordea Bank Abp (NDA-DK.CO)"
"25","Netcompany Group","NETC.CO","Technology","Netcompany Group (NETC.CO)"
"26","Novo Nordisk B","NOVO-B.CO","Health Care","Novo Nordisk B (NOVO-B.CO)"
"27","Novozymes B","NZYM-B.CO","Health Care","Novozymes B (NZYM-B.CO)"
"28","Ørsted","ORSTED.CO","Utilities","Ørsted (ORSTED.CO)"
"29","Össur","OSSR.CO","Health Care","Össur (OSSR.CO)"
"30","Pandora","PNDORA.CO","Consumer Goods","Pandora (PNDORA.CO)"
"31","Royal UNIBREW","RBREW.CO","Consumer Goods","Royal UNIBREW (RBREW.CO)"
"32","Ringkjøbing Landbobank","RILBA.CO","Financials","Ringkjøbing Landbobank (RILBA.CO)"
"33","Rockwool Int. A","ROCK-A.CO","Industrials","Rockwool Int. A (ROCK-A.CO)"
"34","Rockwool Int. B","ROCK-B.CO","Industrials","Rockwool Int. B (ROCK-B.CO)"
"35","Schouw & Co.","SCHO.CO","Industrials","Schouw & Co. (SCHO.CO)"
"36","SimCorp","SIM.CO","Technology","SimCorp (SIM.CO)"
"37","Spar Nord Bank","SPNO.CO","Financials","Spar Nord Bank (SPNO.CO)"
"38","Scandinavian Tobacco Group","STG.CO","Consumer Goods","Scandinavian Tobacco Group (STG.CO)"
"39","Sydbank","SYDB.CO","Financials","Sydbank (SYDB.CO)"
"40","Topdanmark","TOP.CO","Financials","Topdanmark (TOP.CO)"
"41","Tryg","TRYG.CO","Financials","Tryg (TRYG.CO)"
"42","Vestas Wind Systems","VWS.CO","Oil & Gas","Vestas Wind Systems (VWS.CO)"
"43","Bavarian Nordic","BAVA.CO","Health Care","Bavarian Nordic (BAVA.CO)"
"44","BankNordik","BNORDIK-CSE.CO","Financials","BankNordik (BNORDIK-CSE.CO)"
"45","Bang & Olufsen","BO.CO","Consumer Goods","Bang & Olufsen (BO.CO)"
"46","ChemoMetec","CHEMM.CO","Health Care","ChemoMetec (CHEMM.CO)"
"47","Columbus","COLUM.CO","Technology","Columbus (COLUM.CO)"
"48","D/S Norden","DNORD.CO","Industrials","D/S Norden (DNORD.CO)"
"49","Brdr.Hartmann","HART.CO","Industrials","Brdr.Hartmann (HART.CO)"
"50","H+H International","HH.CO","Industrials","H+H International (HH.CO)"
"51","Jutlander Bank","JUTBK.CO","Financials","Jutlander Bank (JUTBK.CO)"
"52","Lån og Spar Bank","LASP.CO","Financials","Lån og Spar Bank (LASP.CO)"
"53","Matas","MATAS.CO","Consumer Services","Matas (MATAS.CO)"
"54","NKT","NKT.CO","Industrials","NKT (NKT.CO)"
"55","Nilfisk Holding","NLFSK.CO","Industrials","Nilfisk Holding (NLFSK.CO)"
"56","NNIT","NNIT.CO","Technology","NNIT (NNIT.CO)"
"57","NTG Nordic Transport Group","NTG.CO","Industrials","NTG Nordic Transport Group (NTG.CO)"
"58","Orphazyme","ORPHA.CO","Health Care","Orphazyme (ORPHA.CO)"
"59","Per Aarsleff Holding B","PAAL-B.CO","Industrials","Per Aarsleff Holding B (PAAL-B.CO)"
"60","RTX","RTX.CO","Technology","RTX (RTX.CO)"
"61","SAS","SAS-DKK.CO","Consumer Services","SAS (SAS-DKK.CO)"
"62","Solar B","SOLAR-B.CO","Industrials","Solar B (SOLAR-B.CO)"
"63","SP Group","SPG.CO","Basic Materials","SP Group (SPG.CO)"
"64","Sparekassen Sjælland-Fyn","SPKSJF.CO","Financials","Sparekassen Sjælland-Fyn (SPKSJF.CO)"
"65","Tivoli A/S","TIV.CO","Consumer Services","Tivoli A/S (TIV.CO)"
"66","TORM A","TRMD-A.CO","Industrials","TORM A (TRMD-A.CO)"
"67","United Int. Enterprises","UIE.CO","Consumer Goods","United Int. Enterprises (UIE.CO)"
"68","Vestjysk Bank","VJBA.CO","Financials","Vestjysk Bank (VJBA.CO)"
"69","Zealand Pharma","ZEAL.CO","Health Care","Zealand Pharma (ZEAL.CO)"
"70","AaB","AAB.CO","Consumer Services","AaB (AAB.CO)"
"71","Agat Ejendomme","AGAT.CO","Financials","Agat Ejendomme (AGAT.CO)"
"72","AGF B","AGF-B.CO","Consumer Services","AGF B (AGF-B.CO)"
"73","Andersen & Martini Holding B","AM-B.CO","Consumer Services","Andersen & Martini Holding B (AM-B.CO)"
"74","Brdr. A & O Johansen præf.","AOJ-P.CO","Industrials","Brdr. A & O Johansen præf. (AOJ-P.CO)"
"75","Athena Investments","ATHENA.CO","Utilities","Athena Investments (ATHENA.CO)"
"76","Atlantic Petroleum","ATLA-DKK.CO","Oil & Gas","Atlantic Petroleum (ATLA-DKK.CO)"
"77","Brøndby IF","BIF.CO","Consumer Services","Brøndby IF (BIF.CO)"
"78","BioPorto","BIOPOR.CO","Health Care","BioPorto (BIOPOR.CO)"
"79","Blue Vision A","BLVIS-A.CO","Financials","Blue Vision A (BLVIS-A.CO)"
"80","Boliga Gruppen","BOLIGA.CO","Consumer Services","Boliga Gruppen (BOLIGA.CO)"
"81","F.E. Bording B","BORD-B.CO","Industrials","F.E. Bording B (BORD-B.CO)"
"82","BoStad B","BOSTAD-B.CO","Financials","BoStad B (BOSTAD-B.CO)"
"83","CBRAIN","CBRAIN.CO","Technology","CBRAIN (CBRAIN.CO)"
"84","Cemat","CEMAT.CO","Financials","Cemat (CEMAT.CO)"
"85","Copenhagen Capital Præf","CPHCAP-PREF.CO","Financials","Copenhagen Capital Præf (CPHCAP-PREF.CO)"
