Company|Symbol|combi
Novo Nordisk|NOVO-B.CO|Novo Nordisk (NOVO-B.CO)
Orsted|ORSTED.CO|Orsted (ORSTED.CO)
Nordea Bank|NDA-DK.CO|Nordea Bank (NDA-DK.CO)
A.P. Moller - Marsk A|MAERSK-B.CO|A.P. Moller - Marsk A (MAERSK-B.CO)
A.P. Moller - Marsk B|MAERSK-A.CO|A.P. Moller - Marsk B (MAERSK-A.CO)
DSV Panalpina|DSV.CO|DSV Panalpina (DSV.CO)
Coloplast|COLO-B.CO|Coloplast (COLO-B.CO)
Carlsberg A|CARL-A.CO|Carlsberg A (CARL-A.CO)
Carlsberg B|CARL-B.CO|Carlsberg B (CARL-B.CO)
Vestas Wind Systems|VWS.CO|Vestas Wind Systems (VWS.CO)
Genmab|GMAB.CO|Genmab (GMAB.CO)
Danske Bank|DANSKE.CO|Danske Bank (DANSKE.CO)
Novozymes|NZYM-B.CO|Novozymes (NZYM-B.CO)
Chr. Hansen Holding|CHR.CO|Chr. Hansen Holding (CHR.CO)
Tryg|TRYG.CO|Tryg (TRYG.CO)
H. Lundbeck|LUN.CO|H. Lundbeck (LUN.CO)
Demant|DEMANT.CO|Demant (DEMANT.CO)
Kobenhavns Lufthavne|KBHL.CO|Kobenhavns Lufthavne (KBHL.CO)
GN Store Nord|GN.CO|GN Store Nord (GN.CO)
ROCKWOOL International A|ROCK-B.CO|ROCKWOOL International A (ROCK-B.CO)
ROCKWOOL International B|ROCK-A.CO|ROCKWOOL International B (ROCK-A.CO)
SimCorp|SIM.CO|SimCorp (SIM.CO)
Royal Unibrew|RBREW.CO|Royal Unibrew (RBREW.CO)
ISS|ISS.CO|ISS (ISS.CO)
G4S|G4S.CO|G4S (G4S.CO)
Topdanmark|TOP.CO|Topdanmark (TOP.CO)
Ambu|AMBU-B.CO|Ambu (AMBU-B.CO)
Pandora|PNDORA.CO|Pandora (PNDORA.CO)
Ossur|OSSR.CO|Ossur (OSSR.CO)
DFDS|DFDS.CO|DFDS (DFDS.CO)
The Drilling Company of 1972|DRLCO.CO|The Drilling Company of 1972 (DRLCO.CO)
Jyske Bank|JYSK.CO|Jyske Bank (JYSK.CO)
ALK-Abello|ALK-B.CO|ALK-Abello (ALK-B.CO)
Netcompany Group|NETC.CO|Netcompany Group (NETC.CO)
Ringkjobing Landbobank|RILBA.CO|Ringkjobing Landbobank (RILBA.CO)
Jeudan|JDAN.CO|Jeudan (JDAN.CO)
Aktieselskabet|SCHO.CO|Aktieselskabet (SCHO.CO)
FLSmidth & Co.|FLS.CO|FLSmidth & Co. (FLS.CO)
Veloxis Pharmaceuticals|VELO.CO|Veloxis Pharmaceuticals (VELO.CO)
Alm. Brand|ALMB.CO|Alm. Brand (ALMB.CO)
Sydbank|SYDB.CO|Sydbank (SYDB.CO)
Zealand Pharma|ZEAL.CO|Zealand Pharma (ZEAL.CO)
Scandinavian Tobacco Group|STG.CO|Scandinavian Tobacco Group (STG.CO)
Spar Nord Bank|SPNO.CO|Spar Nord Bank (SPNO.CO)
TORM|TRMD-A.CO|TORM (TRMD-A.CO)
Bavarian Nordic|BAVA.CO|Bavarian Nordic (BAVA.CO)
C WorldWide|CWIGAKL.CO|C WorldWide (CWIGAKL.CO)
United International|UIE.CO|United International (UIE.CO)
NKT|NKT.CO|NKT (NKT.CO)
Per Aarsleff Holding|PAAL-B.CO|Per Aarsleff Holding (PAAL-B.CO)
SAS AB (|SAS-DKK.CO|SAS AB ( (SAS-DKK.CO)
Dampskibsselskabet Norden|DNORD.CO|Dampskibsselskabet Norden (DNORD.CO)
Nilfisk Holding|NLFSK.CO|Nilfisk Holding (NLFSK.CO)
Tivoli|TIV.CO|Tivoli (TIV.CO)
ChemoMetec|CHEMM.CO|ChemoMetec (CHEMM.CO)
Vestjysk Bank|VJBA.CO|Vestjysk Bank (VJBA.CO)
NNIT|NNIT.CO|NNIT (NNIT.CO)
SP Group|SPG.CO|SP Group (SPG.CO)
BI Erhvervsejendomme|BIAEJD.CO|BI Erhvervsejendomme (BIAEJD.CO)
H+H International|HH.CO|H+H International (HH.CO)
Solar|SOLAR-B.CO|Solar (SOLAR-B.CO)
Brodrene Hartmann|HART.CO|Brodrene Hartmann (HART.CO)
Matas|MATAS.CO|Matas (MATAS.CO)
NTG Nordic Transport Group|NTG.CO|NTG Nordic Transport Group (NTG.CO)
Jutlander Bank|JUTBK.CO|Jutlander Bank (JUTBK.CO)
RTX|RTX.CO|RTX (RTX.CO)
Lan & Spar Bank|LASP.CO|Lan & Spar Bank (LASP.CO)
Sparekassen Sjalland-Fyn|SPKSJF.CO|Sparekassen Sjalland-Fyn (SPKSJF.CO)
Gabriel Holding|GABR.CO|Gabriel Holding (GABR.CO)
Orphazyme|ORPHA.CO|Orphazyme (ORPHA.CO)
Bang & Olufsen|BO.CO|Bang & Olufsen (BO.CO)
TCM Group|TCM.CO|TCM Group (TCM.CO)
Danske Andelskassers Bank|DAB.CO|Danske Andelskassers Bank (DAB.CO)
Columbus|COLUM.CO|Columbus (COLUM.CO)
cBrain|CBRAIN.CO|cBrain (CBRAIN.CO)
P/F|BNORDIK-CSE.CO|P/F (BNORDIK-CSE.CO)
PARKEN Sport & Entertainment|PARKEN.CO|PARKEN Sport & Entertainment (PARKEN.CO)
GronlandsBANKEN|GRLA.CO|GronlandsBANKEN (GRLA.CO)
Jobindex|JOBNDX.CO|Jobindex (JOBNDX.CO)
Flugger group|FLUG-B.CO|Flugger group (FLUG-B.CO)
IR Basis|IRABAS.CO|IR Basis (IRABAS.CO)
North Media|NORTHM.CO|North Media (NORTHM.CO)
Brodrene A & O Johansen|AOJ-P.CO|Brodrene A & O Johansen (AOJ-P.CO)
Den Jyske Sparekasse|DJS.CO|Den Jyske Sparekasse (DJS.CO)
Sanistal|SANI.CO|Sanistal (SANI.CO)
Djurslands Bank|DJUR.CO|Djurslands Bank (DJUR.CO)
Formuepleje|FPILIM.CO|Formuepleje (FPILIM.CO)
Prime Office|PRIMOF.CO|Prime Office (PRIMOF.CO)
MT Hojgaard Holding|MTHH.CO|MT Hojgaard Holding (MTHH.CO)
Waturu Holding|WATURU.CO|Waturu Holding (WATURU.CO)
Skjern Bank|SKJE.CO|Skjern Bank (SKJE.CO)
Fynske Bank|FYNBK.CO|Fynske Bank (FYNBK.CO)
Kreditbanken|KRE.CO|Kreditbanken (KRE.CO)
EgnsINVEST Ejendomme Tyskland|EGNETY.CO|EgnsINVEST Ejendomme Tyskland (EGNETY.CO)
BioPorto|BIOPOR.CO|BioPorto (BIOPOR.CO)
German High Street Properties|GERHSP.CO|German High Street Properties (GERHSP.CO)
Park Street Nordicom|PSNRDC-A.CO|Park Street Nordicom (PSNRDC-A.CO)
FirstFarms|FFARMS.CO|FirstFarms (FFARMS.CO)
Gyldendal|GYLD-B.CO|Gyldendal (GYLD-B.CO)
Astralis Group|ASTGRP.CO|Astralis Group (ASTGRP.CO)
Agat Ejendomme|AGAT.CO|Agat Ejendomme (AGAT.CO)
Athena Investments|ATHENA.CO|Athena Investments (ATHENA.CO)
Roblon|RBLN-B.CO|Roblon (RBLN-B.CO)
Strategic Investments|STRINV.CO|Strategic Investments (STRINV.CO)
Lollands Bank|LOLB.CO|Lollands Bank (LOLB.CO)
Investeringsselskabet Luxor|LUXOR-B.CO|Investeringsselskabet Luxor (LUXOR-B.CO)
Fast Ejendom Danmark|FED.CO|Fast Ejendom Danmark (FED.CO)
BoStad|BOSTAD-B.CO|BoStad (BOSTAD-B.CO)
Agillic|AGILC.CO|Agillic (AGILC.CO)
IR Favoritter|IRAFAV.CO|IR Favoritter (IRAFAV.CO)
Harboes Bryggeri|HARB-B.CO|Harboes Bryggeri (HARB-B.CO)
Totalbanken|TOTA.CO|Totalbanken (TOTA.CO)
Mons Bank|MNBA.CO|Mons Bank (MNBA.CO)
Salling Bank|SALB.CO|Salling Bank (SALB.CO)
Scape Technologies|SCAPE.CO|Scape Technologies (SCAPE.CO)
Nordic Shipholding|NORDIC.CO|Nordic Shipholding (NORDIC.CO)
Onxeo SA3.9000-0.0550-1.39%126,90459,034213.156MN/A|ONXEO.CO|Onxeo SA3.9000-0.0550-1.39%126,90459,034213.156MN/A (ONXEO.CO)
Green Mobility|GREENM.CO|Green Mobility (GREENM.CO)
IR Vaekstlande|IRAVLA.CO|IR Vaekstlande (IRAVLA.CO)
Nordfyns Bank|NRDF.CO|Nordfyns Bank (NRDF.CO)
Odico|ODICO.CO|Odico (ODICO.CO)
Konsolidator|KONSOL.CO|Konsolidator (KONSOL.CO)
Brondbyernes IF Fodbold|BIF.CO|Brondbyernes IF Fodbold (BIF.CO)
Copenhagen Capital A|CPHCAP-ST.CO|Copenhagen Capital A (CPHCAP-ST.CO)
Copenhagen Capital B|CPHCAP-PREF.CO|Copenhagen Capital B (CPHCAP-PREF.CO)
Silkeborg IF Invest|SIF.CO|Silkeborg IF Invest (SIF.CO)
AGF|AGF-B.CO|AGF (AGF-B.CO)
SKAKO|SKAKO.CO|SKAKO (SKAKO.CO)
F.E. Bording|BORD-B.CO|F.E. Bording (BORD-B.CO)
Brd. Klee|KLEE-B.CO|Brd. Klee (KLEE-B.CO)
Glunz & Jensen Holding|GJ.CO|Glunz & Jensen Holding (GJ.CO)
IR Erhverv|IRAERH.CO|IR Erhverv (IRAERH.CO)
Seluxit|SLXIT.CO|Seluxit (SLXIT.CO)
RIAS|RIAS-B.CO|RIAS (RIAS-B.CO)
ViroGates|VIRO.CO|ViroGates (VIRO.CO)
Svejsemaskinefabrikken Migatronic|MIGA-B.CO|Svejsemaskinefabrikken Migatronic (MIGA-B.CO)
IR Hojrente|IRAHOJ.CO|IR Hojrente (IRAHOJ.CO)
NTR Holding|NTR-B.CO|NTR Holding (NTR-B.CO)
Hvidbjerg Bank|3212.CO|Hvidbjerg Bank (3212.CO)
Dalhoff Larsen & Horneman|DLH.CO|Dalhoff Larsen & Horneman (DLH.CO)
Cemat|CEMAT.CO|Cemat (CEMAT.CO)
Newcap Holding|NEWCAP.CO|Newcap Holding (NEWCAP.CO)
Andersen & Martini Holding|AM-B.CO|Andersen & Martini Holding (AM-B.CO)
Boliga Gruppen|BOLIGA.CO|Boliga Gruppen (BOLIGA.CO)
Esoft Systems|ESOFT.CO|Esoft Systems (ESOFT.CO)
Dantax|DANT.CO|Dantax (DANT.CO)
Danish Aerospace Company|DAC.CO|Danish Aerospace Company (DAC.CO)
Scandinavian Brake Systems|SBS.CO|Scandinavian Brake Systems (SBS.CO)
Blue Vision|BLVIS-A.CO|Blue Vision (BLVIS-A.CO)
WirTek|WIRTEK.CO|WirTek (WIRTEK.CO)
InterMail|IMAIL.CO|InterMail (IMAIL.CO)
Scandinavian Private Equity|SPEAS.CO|Scandinavian Private Equity (SPEAS.CO)
Happy Helper|HAPPY.CO|Happy Helper (HAPPY.CO)
Small Cap Danmark|SCD.CO|Small Cap Danmark (SCD.CO)
Victoria Properties|VIPRO.CO|Victoria Properties (VIPRO.CO)
FastPassCorp|FASTPC.CO|FastPassCorp (FASTPC.CO)
Rovsing|ROV.CO|Rovsing (ROV.CO)
Aalborg Boldspilklub|AAB.CO|Aalborg Boldspilklub (AAB.CO)
Hypefactors|HYPE.CO|Hypefactors (HYPE.CO)
P/F Atlantic Petroleum6.05-0.10-1.63%8,0936,79322.372M3.97|ATLA-DKK.CO|P/F Atlantic Petroleum6.05-0.10-1.63%8,0936,79322.372M3.97 (ATLA-DKK.CO)
EAC Invest|EAC.CO|EAC Invest (EAC.CO)
Conferize|CONFRZ.CO|Conferize (CONFRZ.CO)
Erria|ERRIA.CO|Erria (ERRIA.CO)
Enalyzer|ENALYZ.CO|Enalyzer (ENALYZ.CO)
Npinvestor.com|NPINV.CO|Npinvestor.com (NPINV.CO)
Investeringsforeningen SI Verden Etik Fund108.650.000.00%200N/AN/AN/A|SYIVEADKK.CO|Investeringsforeningen SI Verden Etik Fund108.650.000.00%200N/AN/AN/A (SYIVEADKK.CO)
Independent Global Akk43,215.00-45.00-0.10%2N/AN/AN/A|IIVGLA.CO|Independent Global Akk43,215.00-45.00-0.10%2N/AN/AN/A (IIVGLA.CO)
SEBinvest - Balance Vakst AKL180.05+0.25+0.14%2,737N/AN/AN/A|SEIBVP.CO|SEBinvest - Balance Vakst AKL180.05+0.25+0.14%2,737N/AN/AN/A (SEIBVP.CO)
MMI Nye Aktiemarkeder - Sands155.350.000.00%675N/AN/AN/A|MMINAM.CO|MMI Nye Aktiemarkeder - Sands155.350.000.00%675N/AN/AN/A (MMINAM.CO)
SKAGEN m2 A190.250.000.00%1,800N/AN/AN/A|SKIM2.CO|SKAGEN m2 A190.250.000.00%1,800N/AN/AN/A (SKIM2.CO)
MMI Nye Obligationsmarkeder - Investec100.150.000.00%1,472N/AN/AN/A|MMINO.CO|MMI Nye Obligationsmarkeder - Investec100.150.000.00%1,472N/AN/AN/A (MMINO.CO)
Jyske Invest Kinesiske Aktier KL149.100.000.00%17N/AN/AN/A|JYIKIKL.CO|Jyske Invest Kinesiske Aktier KL149.100.000.00%17N/AN/AN/A (JYIKIKL.CO)
Handelsinvest - Defensiv 10105.75-0.25-0.24%9,063N/AN/AN/A|HAID10A.CO|Handelsinvest - Defensiv 10105.75-0.25-0.24%9,063N/AN/AN/A (HAID10A.CO)
BankInvest Optima 75 Akk. KL183.65+0.10+0.05%311N/AN/AN/A|BIV75A.CO|BankInvest Optima 75 Akk. KL183.65+0.10+0.05%311N/AN/AN/A (BIV75A.CO)
Nykredit Invest Lange Obligationer Akk184.25-0.35-0.19%4,316N/AN/AN/A|NYILOA.CO|Nykredit Invest Lange Obligationer Akk184.25-0.35-0.19%4,316N/AN/AN/A (NYILOA.CO)
Bankinvest - Danske Aktier Akk. KL142.35+1.10+0.78%19,737N/AN/AN/A|BAIDKAAKA.CO|Bankinvest - Danske Aktier Akk. KL142.35+1.10+0.78%19,737N/AN/AN/A (BAIDKAAKA.CO)
ValueInvest Japan KL195.80-1.55-0.79%135N/AN/AN/A|VAIJAPA.CO|ValueInvest Japan KL195.80-1.55-0.79%135N/AN/AN/A (VAIJAPA.CO)
SEBinvest Lange Obligationer102.45+0.15+0.15%1,075N/AN/AN/A|SEILOBL.CO|SEBinvest Lange Obligationer102.45+0.15+0.15%1,075N/AN/AN/A (SEILOBL.CO)
Danske Invest Nye Markeder KL DKK d237.20+1.60+0.68%3,691N/AN/AN/A|DKINYM.CO|Danske Invest Nye Markeder KL DKK d237.20+1.60+0.68%3,691N/AN/AN/A (DKINYM.CO)
Sparinvest INDEX Høj Risiko KL117.20+0.05+0.04%2,725N/AN/AN/A|SPVIHRKL.CO|Sparinvest INDEX Høj Risiko KL117.20+0.05+0.04%2,725N/AN/AN/A (SPVIHRKL.CO)
SKAGEN Insight A77.12-0.34-0.44%25N/AN/AN/A|SKIIA.CO|SKAGEN Insight A77.12-0.34-0.44%25N/AN/AN/A (SKIIA.CO)
Sparinvest INDEX USA Small Cap KL154.40-0.60-0.39%1,094N/AN/AN/A|SPIUSSKL.CO|Sparinvest INDEX USA Small Cap KL154.40-0.60-0.39%1,094N/AN/AN/A (SPIUSSKL.CO)
Nordea Invest - Virksomhedsobligationer94.76-0.04-0.04%3,981N/AN/AN/A|NDIVOBKL.CO|Nordea Invest - Virksomhedsobligationer94.76-0.04-0.04%3,981N/AN/AN/A (NDIVOBKL.CO)
Nordea Invest - European High Yield Bonds108.700.000.00%4,585N/AN/AN/A|NDIEHYKL.CO|Nordea Invest - European High Yield Bonds108.700.000.00%4,585N/AN/AN/A (NDIEHYKL.CO)
Alm. Brand Invest Mix Offensiv ETIK202.00+0.40+0.20%74N/AN/AN/A|ALIMOF.CO|Alm. Brand Invest Mix Offensiv ETIK202.00+0.40+0.20%74N/AN/AN/A (ALIMOF.CO)
Handelsinvest Offensiv 60 (AK)117.25-0.05-0.04%7,968N/AN/AN/A|HAIO60A.CO|Handelsinvest Offensiv 60 (AK)117.25-0.05-0.04%7,968N/AN/AN/A (HAIO60A.CO)
Lan & Spar MixInvest Balance 20169.850.000.00%368N/AN/AN/A|LSKB20.CO|Lan & Spar MixInvest Balance 20169.850.000.00%368N/AN/AN/A (LSKB20.CO)
Maj Invest - Maj Invest Vakstaktier KL132.75+0.40+0.30%5,524N/AN/AN/A|MAJVA.CO|Maj Invest - Maj Invest Vakstaktier KL132.75+0.40+0.30%5,524N/AN/AN/A (MAJVA.CO)
Maj Invest Makro159.50-0.15-0.09%7,306N/AN/AN/A|MAJMAK.CO|Maj Invest Makro159.50-0.15-0.09%7,306N/AN/AN/A (MAJMAK.CO)
SEBinvest - Europa Indeks AKL139.050.000.00%542N/AN/AN/A|SEIEUII.CO|SEBinvest - Europa Indeks AKL139.050.000.00%542N/AN/AN/A (SEIEUII.CO)
Alm. Brand Invest Lange Obligationer ETIK100.90+0.30+0.30%1,507N/AN/AN/A|ALILO.CO|Alm. Brand Invest Lange Obligationer ETIK100.90+0.30+0.30%1,507N/AN/AN/A (ALILO.CO)
Nordea Invest - Virksomhedsobligationer Hojrente115.50+0.10+0.09%26,828N/AN/AN/A|NDIVOHKL1.CO|Nordea Invest - Virksomhedsobligationer Hojrente115.50+0.10+0.09%26,828N/AN/AN/A (NDIVOHKL1.CO)
IR Invest Danske Aktier100.800.000.00%1,000N/AN/AN/A|IRIDKA.CO|IR Invest Danske Aktier100.800.000.00%1,000N/AN/AN/A (IRIDKA.CO)
Investin Advice Capital Globale126.100.000.00%423N/AN/AN/A|INIACG.CO|Investin Advice Capital Globale126.100.000.00%423N/AN/AN/A (INIACG.CO)
Alm. Brand Invest Mix Defensiv ETIK104.700.000.00%2,331N/AN/AN/A|ALIMD.CO|Alm. Brand Invest Mix Defensiv ETIK104.700.000.00%2,331N/AN/AN/A (ALIMD.CO)
Kapitalforeningen BankInvest Select - Fokus Danske Aktier28,820.00+55.00+0.19%4N/AN/AN/A|BSKFDAKL.CO|Kapitalforeningen BankInvest Select - Fokus Danske Aktier28,820.00+55.00+0.19%4N/AN/AN/A (BSKFDAKL.CO)
Nordea Invest Mellemlange obligationer Fund168.100.000.00%1,680N/AN/AN/A|NDIMLOKL.CO|Nordea Invest Mellemlange obligationer Fund168.100.000.00%1,680N/AN/AN/A (NDIMLOKL.CO)
Nordea Invest - Verdens Obligationsmarkeder108.20+0.10+0.09%46N/AN/AN/A|NDIVOMKL.CO|Nordea Invest - Verdens Obligationsmarkeder108.20+0.10+0.09%46N/AN/AN/A (NDIVOMKL.CO)
Formuepleje - Danske Aktier89.56+1.06+1.20%6,032N/AN/AN/A|FPIDKA.CO|Formuepleje - Danske Aktier89.56+1.06+1.20%6,032N/AN/AN/A (FPIDKA.CO)
Stonehenge Globale Valueaktier KL192.80-1.05-0.54%6,390N/AN/AN/A A|SHIGVAKL.CO|Stonehenge Globale Valueaktier KL192.80-1.05-0.54%6,390N/AN/AN/A A (SHIGVAKL.CO)
Nordea Invest - Virksomhedsobligationer Hojrente115.50+0.10+0.09%26,828N/AN/AN/A A B|NDIVOHKL1.CO|Nordea Invest - Virksomhedsobligationer Hojrente115.50+0.10+0.09%26,828N/AN/AN/A A B (NDIVOHKL1.CO)
Stonehenge Globale Valueaktier KL192.80-1.05-0.54%6,390N/AN/AN/A B|SHIGVAKL.CO|Stonehenge Globale Valueaktier KL192.80-1.05-0.54%6,390N/AN/AN/A B (SHIGVAKL.CO)
Danske Invest Globale Lange Indeksobligationer DKK h156.900.000.00%1,087N/AN/AN/A|DKIGLIADKKH.CO|Danske Invest Globale Lange Indeksobligationer DKK h156.900.000.00%1,087N/AN/AN/A (DKIGLIADKKH.CO)
Nordea Invest Danmark191.25+1.00+0.53%4,051N/AN/AN/A|NDIDKKL.CO|Nordea Invest Danmark191.25+1.00+0.53%4,051N/AN/AN/A (NDIDKKL.CO)
Sparinv SICAV - Ethical Glob Va188.05+1.15+0.62%141N/AN/AN/A|SSIEGVEURR.CO|Sparinv SICAV - Ethical Glob Va188.05+1.15+0.62%141N/AN/AN/A (SSIEGVEURR.CO)
Sydinvest Vækstorienteret Udb A117.85+0.35+0.30%16,666N/AN/AN/A|SYVVUA.CO|Sydinvest Vækstorienteret Udb A117.85+0.35+0.30%16,666N/AN/AN/A (SYVVUA.CO)
Sparinvest - Lange Obligationer KL109.35+0.40+0.37%2,484N/AN/AN/A|SPILOLKLA.CO|Sparinvest - Lange Obligationer KL109.35+0.40+0.37%2,484N/AN/AN/A (SPILOLKLA.CO)
